Sample ID,repeat N,Pith area (um^2),Xylem+pith area (um^2),pith+phloem+xylem area (um^2),xylem area (um^2),xylem area (%),phloem area (um^2),phloem area (%)
1,d,64141.825,176203.101,284244.363,112061.276,39.42427382,108041.262,38.00999283
2,d,35000.633,138030.708,280231.899,103030.075,36.76600536,142201.191,50.74411282
3,e,36991.237,221710.212,335368.374,184718.975,55.07942589,113658.162,33.8905427
4,d,15327.85,59498.704,107239.6,44170.854,41.18893953,47740.896,44.51797284
16,d,25417.268,154832.237,236932.305,129414.969,54.62107373,82100.068,34.65127645
17,d,74651.116,206513.323,324162.083,131862.207,40.67786269,117648.76,36.29318979
19,d,24363.651,101901.835,174263.361,77538.184,44.49482872,72361.526,41.52423412
20,d,27197.346,95881.097,150943.443,68683.751,45.50297094,55062.346,36.47879292
31,d,117615.649,341483.502,431686.831,223867.853,51.85885622,90203.329,20.895548
32,d,54676.876,160730.415,224887.865,106053.539,47.15840893,64157.45,28.52864026
34,d,113351.763,326953.771,431888.955,213602.008,49.45762227,104935.184,24.29679731
35,d,83967.124,320211.02,432244.773,236243.896,54.65511922,112033.753,25.91905328
36,d,84312.07,286158.246,378654.625,201846.176,53.30614303,92496.379,24.42763745
37,d,126814.039,315661.985,424645.587,188847.946,44.47189651,108983.602,25.66460251
56,d,121627.497,320292.561,451338.858,198665.064,44.01683136,131046.297,29.0350132
57,d,107870.682,328632.046,431294.443,220761.364,51.18576592,102662.397,23.80332014
58,d,172078.045,500711.574,659237.4,328633.529,49.85055899,158525.826,24.04684959
59,d,62860.196,154395.372,222954.587,91535.176,41.05552491,68559.215,30.75030477
61,d,49669.231,189506.704,254995.012,139837.473,54.83929741,65488.308,25.68219178
