object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,22.0,683.0,250.0,688.0,255.0,684.9091,251.90909
1,0,2,0,Callose,1.0,0.0,20.0,937.0,329.0,941.0,336.0,938.7,331.6
2,0,3,0,Callose,1.0,0.0,33.0,636.0,384.0,642.0,391.0,638.51514,387.0909
3,0,4,0,Callose,1.0,0.0,23.0,945.0,396.0,951.0,402.0,947.5217,398.6087
4,0,5,0,Callose,1.0,0.0,63.0,534.0,405.0,541.0,417.0,536.55554,410.20636
5,0,6,0,Callose,1.0,0.0,115.0,733.0,414.0,744.0,429.0,737.92175,420.83478
6,0,7,0,Callose,1.0,0.0,27.0,616.0,454.0,621.0,461.0,618.4074,457.07407
7,0,8,0,Callose,1.0,0.0,44.0,770.0,458.0,775.0,470.0,771.8409,463.3409
8,0,9,0,Callose,1.0,0.0,166.0,511.0,459.0,524.0,477.0,516.9458,467.3554
9,0,10,0,Callose,1.0,0.0,37.0,936.0,465.0,943.0,471.0,939.0541,467.43243
10,0,11,0,Callose,1.0,0.0,45.0,475.0,482.0,482.0,490.0,477.86667,485.55554
11,0,12,0,Callose,1.0,0.0,151.0,891.0,485.0,903.0,502.0,897.0199,493.298
12,0,13,0,Callose,1.0,0.0,66.0,971.0,494.0,980.0,503.0,974.75757,497.9091
13,0,14,0,Callose,1.0,0.0,65.0,700.0,514.0,710.0,523.0,704.4769,518.0615
14,0,15,0,Callose,1.0,0.0,108.0,407.0,521.0,417.0,537.0,411.02777,528.2315
15,0,16,0,Callose,1.0,0.0,254.0,502.0,521.0,516.0,549.0,507.7244,534.75195
16,0,17,0,Callose,1.0,0.0,39.0,826.0,521.0,831.0,532.0,827.9231,525.6667
17,0,18,0,Callose,1.0,0.0,64.0,1012.0,525.0,1020.0,536.0,1015.15625,529.9219
18,0,19,0,Callose,1.0,0.0,35.0,942.0,528.0,950.0,534.0,945.88574,530.25714
19,0,20,0,Callose,1.0,0.0,50.0,637.0,543.0,646.0,550.0,640.68,545.98
20,0,21,0,Callose,1.0,0.0,121.0,578.0,547.0,593.0,558.0,585.12396,551.80164
21,0,22,0,Callose,1.0,0.0,33.0,669.0,551.0,675.0,558.0,671.63635,553.48486
22,0,23,0,Callose,1.0,0.0,30.0,649.0,554.0,655.0,560.0,651.5,556.4
23,0,24,0,Callose,1.0,0.0,52.0,910.0,573.0,919.0,580.0,913.9039,575.8461
24,0,25,0,Callose,1.0,0.0,65.0,956.0,581.0,965.0,591.0,959.89233,585.4154
25,0,26,0,Callose,1.0,0.0,82.0,440.0,584.0,447.0,599.0,443.2073,591.7439
26,0,27,0,Callose,1.0,0.0,52.0,891.0,586.0,899.0,594.0,894.4423,589.3269
27,0,28,0,Callose,1.0,0.0,243.0,444.0,591.0,465.0,612.0,454.53497,601.107
28,0,29,0,Callose,1.0,0.0,31.0,385.0,606.0,392.0,613.0,387.3871,609.871
29,0,30,0,Callose,1.0,0.0,60.0,551.0,608.0,559.0,619.0,554.5,613.0
30,0,31,0,Callose,1.0,0.0,36.0,685.0,610.0,692.0,616.0,688.1389,612.3889
31,0,32,0,Callose,1.0,0.0,53.0,627.0,612.0,637.0,619.0,631.3585,614.9434
32,0,33,0,Callose,1.0,0.0,42.0,713.0,614.0,721.0,621.0,716.0952,617.1429
33,0,34,0,Callose,1.0,0.0,56.0,775.0,616.0,782.0,626.0,778.1786,620.1071
34,0,35,0,Callose,1.0,0.0,96.0,1009.0,616.0,1019.0,628.0,1013.4792,621.3958
35,0,36,0,Callose,1.0,0.0,184.0,482.0,619.0,498.0,638.0,489.7935,627.9239
36,0,37,0,Callose,1.0,0.0,31.0,915.0,625.0,923.0,631.0,918.3871,627.5484
37,0,38,0,Callose,1.0,0.0,34.0,614.0,626.0,620.0,633.0,616.5,628.7059
38,0,39,0,Callose,1.0,0.0,50.0,813.0,633.0,819.0,645.0,815.18,639.12
39,0,40,0,Callose,1.0,0.0,65.0,780.0,644.0,788.0,655.0,783.33844,649.2923
40,0,41,0,Callose,1.0,0.0,190.0,460.0,648.0,473.0,669.0,465.60526,658.4105
41,0,42,0,Callose,1.0,0.0,67.0,423.0,650.0,432.0,659.0,426.8955,653.91046
42,0,43,0,Callose,1.0,0.0,73.0,413.0,682.0,425.0,690.0,418.67123,685.46576
43,0,44,0,Callose,1.0,0.0,28.0,697.0,685.0,703.0,691.0,699.2143,687.9286
44,0,45,0,Callose,1.0,0.0,151.0,349.0,686.0,363.0,702.0,355.01324,693.96686
45,0,46,0,Callose,1.0,0.0,64.0,266.0,716.0,274.0,727.0,269.73438,720.8906
46,0,47,0,Callose,1.0,0.0,48.0,419.0,718.0,428.0,727.0,423.5,722.3333
47,0,48,0,Callose,1.0,0.0,85.0,262.0,732.0,270.0,746.0,265.35294,738.48236
48,0,49,0,Callose,1.0,0.0,55.0,327.0,746.0,337.0,754.0,331.4,749.6727
