"","Batch","Tree.Code","GS.before.injectoin","X1.h","Export_Ratio","Cultivar","Status","diff","fix"
"1",2,"JR10",0.25,627343.4,69.7869300928327,"SB","Healthy",1,1
"2",2,"JR13",0.019,851512,64.2827699433478,"SB","HLB+",1.08562419065538,0.736740527438251
"6",5,"JR07",0.129,769037.6,58.0311677868546,"SB","Healthy",1,1
"7",5,"JR29",0.288,982278.4,63.0793876766505,"SB","HLB+",0.919970372641006,0.782912054260788
"8",5,"JR30",0.347,201309.8,54.6629026505416,"SB","HLB+",1.06161884885342,3.82016970857852
"9",6,"JR09",0.155,63345.44,6.24872129706574,"SB","Healthy",1,1
"10",6,"JR13",0.116,77583.7,3.71442712837876,"SB","HLB+",1.68228399187713,0.816478719112391
"11",7,"JR07",0.248,129649,63.6086896158088,"SB","Healthy",1,1
"12",7,"JR11",0.339,247027.9,50.7394104066788,"SB","HLB+",1.25363478026217,0.524835453809064
"13",7,"JR16",0.688,811532.5,61.4421726794676,"SB","HLB+",1.03526107300345,0.159758235190827
"14",8,"JR09",0.026,895235.1,50.8629856000954,"SB","Healthy",1,1
"15",8,"JR28",0.31,510184.7,41.5278819611799,"SB","HLB+",1.22479122936349,1.75472745458654
"16",8,"JR30",0.083,754664.3,47.5527330496487,"SB","HLB+",1.06961224598785,1.18626931206366
"17",9,"JR07",NA,190758.5,63.7328087608154,"SB","Healthy",1,1
"18",9,"JR23",NA,724279.1,51.0679239536251,"SB","HLB+",1.24800077674376,0.26337706003114
"19",9,"JR25",NA,637519.8,45.2967107845121,"SB","HLB+",1.40700743292396,0.299219726195171
"20",9,"JR26",NA,1275184,66.9229381799019,"SB","HLB+",0.952331300659412,0.149592921492114
"21",2,"JR01",0.14,1026817,57.4213710914408,"PA","Healthy",1,1
"22",3,"JR02",0.208,721332.7,81.293389305656,"PA","Healthy",1,1
"23",3,"JR12",0.307,985362.6,55.9509869767738,"PA","HLB+",1.45293932597475,0.732047979089119
"24",3,"JR14",0.197,477057.6,30.9182580887507,"PA","HLB+",2.62930043058389,1.5120452959978
"25",5,"JR05",0.153,1001809,56.2666935513656,"PA","Healthy",1,1
"26",6,"JR01",0.043,145207.4,23.5576836993156,"PA","Healthy",1,1
"27",6,"JR20",0.106,47986.77,11.5268854311303,"PA","HLB+",2.04371630481328,3.02598820466558
"28",6,"JR21",0.025,47838.57,12.7653899353597,"PA","HLB+",1.84543392866219,3.03536247007383
"29",7,"JR04",0.155,996197,70.8119679139768,"PA","Healthy",1,1
"30",7,"JR12",0.089,496299.1,62.0807895883752,"PA","HLB+",1.14064219194848,2.00725127246856
"31",7,"JR15",0.145,759338.2,45.3387963360726,"PA","HLB+",1.56184049062717,1.31192793935561
"32",8,"JR03",0.023,240558.3,53.5007522085083,"PA","Healthy",1,1
"33",8,"JR24",0.037,246413,34.4756567226567,"PA","HLB+",1.5518414236138,0.976240295763616
"34",9,"JR05",NA,903771.2,57.1435004788823,"PA","Healthy",1,1
"35",9,"JR17",NA,313775.6,40.8626738344218,"PA","HLB+",1.39842783442002,2.88031064238265
