"","Tree.Code","Batch","log Starch (ug/mm2)"
"2","JR01",2,0.599960768606647
"3","JR01",6,0.467922309926971
"4","JR02",3,-0.0638848245344407
"6","JR03",8,0.550568859627868
"8","JR04",4,0.00832472722439169
"9","JR04",7,-0.489026155947276
"11","JR05",9,-0.0670097338433806
"12","JR05",5,0.120768609633864
"14","JR07",5,-0.267325495748064
"15","JR07",7,-0.93215799473839
"17","JR09",5,-0.310299116593445
"18","JR09",8,-0.433329997228194
"19","JR10",2,-0.867392011601428
"21","JR11",7,1.19662492310706
"22","JR11",3,-0.638011143377783
"24","JR12",3,-0.197188754660262
"25","JR12",7,0.332689990608412
"27","JR13",6,0.623771023995927
"28","JR13",2,0.128520378009022
"30","JR14",3,-0.35103621486707
"31","JR14",8,0.305029259354812
"33","JR15",4,0.195708082074015
"34","JR15",7,0.562313760507643
"36","JR16",3,0.3858167719388
"37","JR16",7,0.619054111291012
"39","JR17",4,0.161433881076245
"40","JR17",9,0.833806378985611
"42","JR20",6,-0.271156760140126
"43","JR20",5,-0.226122766637693
"45","JR21",6,-0.186550748994925
"47","JR23",9,0.78428553030273
"49","JR24",8,-0.513180711753685
"50","JR24",2,0.422929657166575
"52","JR25",9,-0.155299334798258
"54","JR26",9,0.120768609633864
"56","JR28",8,0.357561202433913
"57","JR28",4,0.823582782007759
"59","JR29",6,1.29830685105158
"60","JR29",5,0.42866569640861
"62","JR30",8,-0.589355634745185
"63","JR30",5,0.176266898686926
