Sample ID,Ct Value,NTC,File name,Tree Code,Batch
6,NA,30.1939,QPCR Results 2022-05-18 CQL,JR06,3
7,30.1053,30.1939,QPCR Results 2022-05-18 CQL,JR07,5
8,30.01596667,30.1939,QPCR Results 2022-05-18 CQL,JR09,5
9,29.87526667,30.1939,QPCR Results 2022-05-18 CQL,JR08,4
10,31.82276667,30.5243,QPCR Results 2022-05-23 CQL,JR10,2
21,31.5225,30.5243,QPCR Results 2022-05-23 CQL,JR01,2
22,#DIV/0!,30.5243,QPCR Results 2022-05-23 CQL,JR02,3
24,33.78496667,30.5243,QPCR Results 2022-05-23 CQL,JR04,4
25,33.59653333,30.5243,QPCR Results 2022-05-23 CQL,JR05,5
39,23.79983333,30.5243,QPCR Results 2022-05-23 CQL,JR11,3
40,25.31726667,30.5243,QPCR Results 2022-05-23 CQL,JR13,2
41,25.24593333,30.5243,QPCR Results 2022-05-23 CQL,JR16,3
42,24.4988,30.5243,QPCR Results 2022-05-23 CQL,JR23,4
43,22.94663333,30.5243,QPCR Results 2022-05-23 CQL,JR28,4
44,26.7628,30.5243,QPCR Results 2022-05-23 CQL,JR29,5
45,30.622,30.5243,QPCR Results 2022-05-23 CQL,JR30,5
63,33.6508,30.5243,QPCR Results 2022-05-23 CQL,JR12,3
64,29.48013333,30.03425,QPCR Results 2022-06-01 CQL,JR14,3
65,29.632,30.03425,QPCR Results 2022-06-01 CQL,JR15,4
66,29.5628,30.03425,QPCR Results 2022-06-01 CQL,JR17,4
67,29.53706667,30.03425,QPCR Results 2022-06-01 CQL,JR20,5
69,29.85996667,30.03425,QPCR Results 2022-06-01 CQL,JR24,2
84,30.98666667,31.5989,QPCR Results 2022-05-17 CQL,JR07,7
85,31.27386667,31.5989,QPCR Results 2022-05-17 CQL,JR09,8
98,31.17066667,31.5989,QPCR Results 2022-05-17 CQL,JR01,6
100,30.5809,31.5989,QPCR Results 2022-05-17 CQL,JR03,8
101,31.16303333,31.5989,QPCR Results 2022-05-17 CQL,JR04,7
102,30.51936667,31.5989,QPCR Results 2022-05-17 CQL,JR05,9
116,26.93876667,31.5989,QPCR Results 2022-05-17 CQL,JR11,7
117,26.79356667,31.5989,QPCR Results 2022-05-17 CQL,JR13,6
118,25.81983333,31.5989,QPCR Results 2022-05-17 CQL,JR16,7
119,28.87183333,31.5989,QPCR Results 2022-05-17 CQL,JR23,9
120,28.1665,31.5989,QPCR Results 2022-05-17 CQL,JR28,8
121,25.34836667,31.5989,QPCR Results 2022-05-17 CQL,JR29,6
122,30.3698,31.5989,QPCR Results 2022-05-17 CQL,JR30,8
140,30.19466667,30.1939,QPCR Results 2022-05-18 CQL,JR12,7
141,29.83586667,30.1939,QPCR Results 2022-05-18 CQL,JR14,8
142,30.0986,30.1939,QPCR Results 2022-05-18 CQL,JR15,7
143,30.2007,30.1939,QPCR Results 2022-05-18 CQL,JR17,9
144,29.69566667,30.1939,QPCR Results 2022-05-18 CQL,JR20,6
145,29.9975,30.1939,QPCR Results 2022-05-18 CQL,JR21,6
146,30.23073333,30.1939,QPCR Results 2022-05-18 CQL,JR24,8
206,29.92103333,30.1939,QPCR Results 2022-05-18 CQL,JR25,9
210,28.72983333,30.1939,QPCR Results 2022-05-18 CQL,JR26,9
