Sample ID,Ct Value,NTC,File name,Tree Code,Batch
373,NA,33.80412,QPCR Results 2022-08-19 CQL,JR32,NA
374,33.2336,33.80412,QPCR Results 2022-08-19 CQL,JR33,NA
375,33.6062,33.80412,QPCR Results 2022-08-19 CQL,JR34,NA
376,32.2724,33.80412,QPCR Results 2022-08-19 CQL,JR35,NA
377,32.4713,33.80412,QPCR Results 2022-08-19 CQL,JR36,NA
378,32.8115,33.80412,QPCR Results 2022-08-19 CQL,JR37,NA
379,27.2816,33.80412,QPCR Results 2022-08-19 CQL,JR38,NA
380,28.3654,33.80412,QPCR Results 2022-08-19 CQL,JR39,NA
381,28.3807,33.80412,QPCR Results 2022-08-19 CQL,JR40,NA
382,26.4182,33.80412,QPCR Results 2022-08-19 CQL,JR41,NA
383,26.6624,33.80412,QPCR Results 2022-08-19 CQL,JR42,NA
384,27.8911,33.80412,QPCR Results 2022-08-19 CQL,JR43,NA
385,32.481,33.80412,QPCR Results 2022-08-19 CQL,JR44,NA
386,32.3538,33.80412,QPCR Results 2022-08-19 CQL,JR45,NA
387,32.6546,33.80412,QPCR Results 2022-08-19 CQL,JR46,NA
388,33.7008,33.80412,QPCR Results 2022-08-19 CQL,JR47,NA
389,33.1839,33.80412,QPCR Results 2022-08-19 CQL,JR48,NA
390,32.4096,33.80412,QPCR Results 2022-08-19 CQL,JR49,NA
391,31.4201,33.80412,QPCR Results 2022-08-19 CQL,JR50,NA
