Batch ,Measurement date,d.a.i,Tree Code,GS before injectoin,Cultivar ,Status,Leaf #,1 h,24 h
2,12/17/2021,0,JR01,0.14,PA,Healthy,5,498420,22612.8
2,12/17/2021,0,JR10,0.25,SB,Healthy,6,261104.1,84519.62
2,12/17/2021,0,JR13,0.019,SB,HLB+,6,484874.9,184363.5
2,12/17/2021,0,JR24,0.028,PA,HLB+,6,571976,193112
2,12/18/2021,1,JR01,0.14,PA,Healthy,5,1013023,415442.7
2,12/18/2021,1,JR10,0.25,SB,Healthy,6,598649.6,177859.2
2,12/18/2021,1,JR13,0.019,SB,HLB+,6,822160.6,299925
2,12/18/2021,1,JR24,0.028,PA,HLB+,6,1172424,394551.2
2,12/19/2021,2,JR01,0.14,PA,Healthy,5,1021743,437933.9
2,12/19/2021,2,JR10,0.25,SB,Healthy,6,620580.9,182471.1
2,12/19/2021,2,JR13,0.019,SB,HLB+,6,839225.3,307020
2,12/19/2021,2,JR24,0.028,PA,HLB+,6,1195115,417372
2,12/21/2021,4,JR01,0.14,PA,Healthy,5,1026817,437204.6
2,12/21/2021,4,JR10,0.25,SB,Healthy,6,627343.4,189539.7
2,12/21/2021,4,JR13,0.019,SB,HLB+,6,851512,304136.5
2,12/21/2021,4,JR24,0.028,PA,HLB+,6,1200058,420393
3,12/23/2021,0,JR02,0.208,PA,Healthy,5,347636.8,78354
3,12/23/2021,0,JR06,0.186,SB,Healthy,7,736457,250305.8
3,12/23/2021,0,JR11,0.205,SB,HLB+,6,468478.1,266692
3,12/23/2021,0,JR12,0.307,PA,HLB+,5,394724.4,192576.2
3,12/23/2021,0,JR14,0.197,PA,HLB+,8,176756.9,131362.2
3,12/23/2021,0,JR16,0.292,SB,HLB+,6,96571,50872.74
3,12/24/2021,1,JR02,0.208,PA,Healthy,5,699112.9,126540.1
3,12/24/2021,1,JR06,0.186,SB,Healthy,7,2059050,548607.8
3,12/24/2021,1,JR11,0.205,SB,HLB+,6,994431.8,442326.2
3,12/24/2021,1,JR12,0.307,PA,HLB+,5,944132,402812.7
3,12/24/2021,1,JR14,0.197,PA,HLB+,8,464674.8,334041
3,12/24/2021,1,JR16,0.292,SB,HLB+,6,195497,85052.1
3,12/25/2021,2,JR02,0.208,PA,Healthy,5,707762.9,134116
3,12/25/2021,2,JR06,0.186,SB,Healthy,7,2073300,571817.2
3,12/25/2021,2,JR11,0.205,SB,HLB+,6,1007294,445454.3
3,12/25/2021,2,JR12,0.307,PA,HLB+,5,966946.9,423883.4
3,12/25/2021,2,JR14,0.197,PA,HLB+,8,462046.4,330958.1
3,12/25/2021,2,JR16,0.292,SB,HLB+,6,204367.1,89348.45
3,12/26/2021,3,JR02,0.208,PA,Healthy,5,722024.1,135102.4
3,12/26/2021,3,JR06,0.186,SB,Healthy,7,2088356,580543.6
3,12/26/2021,3,JR11,0.205,SB,HLB+,6,1015790,456449
3,12/26/2021,3,JR12,0.307,PA,HLB+,5,987981.2,431188.2
3,12/26/2021,3,JR14,0.197,PA,HLB+,8,465178.4,328537.2
3,12/26/2021,3,JR16,0.292,SB,HLB+,6,207683.4,92144.05
3,12/27/2021,4,JR02,0.208,PA,Healthy,5,721332.7,134936.9
3,12/27/2021,4,JR06,0.186,SB,Healthy,7,2095936,584188.1
3,12/27/2021,4,JR11,0.205,SB,HLB+,6,1023693,458169.9
3,12/27/2021,4,JR12,0.307,PA,HLB+,5,985362.6,434042.5
3,12/27/2021,4,JR14,0.197,PA,HLB+,8,477057.6,329559.7
3,12/27/2021,4,JR16,0.292,SB,HLB+,6,210234.5,94328.39
3,12/28/2021,5,JR02,0.208,PA,Healthy,5,723846.5,135719.6
3,12/28/2021,5,JR06,0.186,SB,Healthy,7,2113064,584601.7
3,12/28/2021,5,JR11,0.205,SB,HLB+,6,1033136,462626.4
3,12/28/2021,5,JR12,0.307,PA,HLB+,5,990754.2,436003.8
3,12/28/2021,5,JR14,0.197,PA,HLB+,8,475150.1,332737.8
3,12/28/2021,5,JR16,0.292,SB,HLB+,6,211133,92934.97
4,12/24/2021,0,JR04,0.04,PA,Healthy,6,950854.3,478932.2
4,12/24/2021,0,JR08,0.229,SB,Healthy,5,678571.1,346386.3
4,12/24/2021,0,JR15,0.113,SB,HLB+,6,84827.91,109966.5
4,12/24/2021,0,JR17,0.141,PA,HLB+,6,447922.2,19506.28
4,12/24/2021,0,JR23,0.105,PA,HLB+,6,2268612,437163.9
4,12/24/2021,0,JR28,0.245,SB,HLB+,6,1289114,361509.2
4,12/25/2021,1,JR04,0.04,PA,Healthy,6,1289114,1162063
4,12/25/2021,1,JR08,0.229,SB,Healthy,5,2268612,850686.4
4,12/25/2021,1,JR15,0.113,SB,HLB+,6,447922.2,245799.7
4,12/25/2021,1,JR17,0.141,PA,HLB+,6,84827.91,42428.47
4,12/25/2021,1,JR23,0.105,PA,HLB+,6,678571.1,816800.1
4,12/25/2021,1,JR28,0.245,SB,HLB+,6,950854.3,663803
4,12/26/2021,2,JR04,0.04,PA,Healthy,6,1300241,1193024
4,12/26/2021,2,JR08,0.229,SB,Healthy,5,2293966,865262.2
4,12/26/2021,2,JR15,0.113,SB,HLB+,6,458400.2,258598.7
4,12/26/2021,2,JR17,0.141,PA,HLB+,6,86684.43,44435.05
4,12/26/2021,2,JR23,0.105,PA,HLB+,6,709428.1,865146.5
