Tree Code,Branch date,total length,width base,with middle,Width tip,Length base - middle,N Leaves,length middle - tip,Observations
JR32,44520,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44729,19,5,5,4.1,10.2,5,8.8,NA
JR32,44761,33,4.7,3.5,2,13.2,13,19.8,NA
JR32,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44531,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44531,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR32,44729,31,5.1,4,2.5,15.5,11,15.5,NA
JR32,44729,5.5,4.2,4.9,4.4,2.7,2,2.8,NA
JR32,44761,33.8,4,3.1,1.8,12,12,21.8,NA
JR32,44761,30.2,4,3,1.7,13,10,17.2,NA
JR32,44729,27,5.9,4,3.2,15.5,12,11.5,NA
JR32,44761,5.5,3,2.9,1.8,2.5,2,3,NA
JR33,44520,NA,NA,NA,NA,NA,NA,NA,Poor development
JR33,44631,NA,NA,NA,NA,NA,NA,NA,Poor development
JR33,44729,12,3,2.1,1.4,6.5,8,5.5,Poor development
JR33,44729,4.5,2.4,2,1.4,1.5,5,3,Poor development
JR34,44531,NA,NA,NA,NA,NA,NA,NA,NA
JR34,44531,NA,NA,NA,NA,NA,NA,NA,NA
JR34,44729,7.5,1.6,1.4,1.2,2.4,4,5.1,NA
JR34,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR34,44729,13.3,3.1,2.1,2,6.2,8,7.1,NA
JR34,44729,4.5,3,1.8,2.1,2,5,2.5,NA
JR34,44729,4.9,2.1,2.1,1.5,2.1,6,2.8,NA
JR35,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR35,44501,NA,NA,NA,NA,NA,NA,NA,NA
JR35,44501,NA,NA,NA,NA,NA,NA,NA,NA
JR35,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR35,44776,2.5,2,1.9,1.5,1.5,3,1,NA
JR35,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR35,44768,21,3.4,2,2,10.4,10,10.6,NA
JR35,44655,NA,NA,NA,NA,NA,NA,NA,NA
JR36,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR36,44531,NA,NA,NA,NA,NA,NA,NA,NA
JR36,44531,NA,NA,NA,NA,NA,NA,NA,NA
JR36,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR36,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR36,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR36,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR37,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR37,44501,NA,NA,NA,NA,NA,NA,NA,NA
JR37,44501,NA,NA,NA,NA,NA,NA,NA,NA
JR37,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR37,44701,21,5.2,3.8,2.8,11.5,5,9.5,NA
JR37,44645,NA,NA,NA,NA,NA,NA,NA,NA
JR37,44750,13.5,3.1,2.8,1.9,6,6,7.5,NA
JR37,44750,7.8,2.9,2,2.5,3.8,5,4,NA
JR37,44750,6.2,2.9,2.3,2,2.6,5,3.6,NA
JR38,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR38,44531,NA,NA,NA,NA,NA,NA,NA,NA
JR38,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR38,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR38,44501,NA,NA,NA,NA,NA,NA,NA,NA
JR38,44757,27,4,3.5,2.9,13.7,9,13.3,NA
JR38,44757,39.7,5.3,3.6,2.8,19.5,15,20.2,NA
JR38,44757,11.4,2.5,2.1,1,5.5,5,5.9,NA
JR38,44757,14.5,2.9,2.9,2.7,7.3,4,7.2,NA
JR38,44659,NA,NA,NA,NA,NA,NA,NA,NA
JR38,44768,14,2.6,2.5,2,7,5,7,NA
JR38,44757,27,4,2.8,2,13.3,10,13.7,NA
JR38,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR39,44655,NA,NA,NA,NA,NA,NA,NA,Poor development
JR39,44768,10.5,2.5,2.7,1.2,4.5,4,6,Poor development
JR40,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44501,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR40,44743,16.6,2.3,1.5,1.1,8.7,7,7.9,NA
