Person,Tree_Name,Tree.Code,Score
MNH,Amelia,JR16,2
MNH,Ava,JR29,3
MNH,Charlotte,JR21,2
MNH,Elijah,JR14,2
MNH,Emma,JR13,2
MNH,James,JR28,1
MNH,Liam,JR20,1
MNH,Noah,JR23,1
MNH,Oliver,JR15,1
MNH,Olivia,JR17,1
AC,Amelia,JR16,2
AC,Ava,JR29,3
AC,Charlotte,JR21,2
AC,Elijah,JR14,2
AC,Emma,JR13,2
AC,James,JR28,1
AC,Liam,JR20,1
AC,Noah,JR23,2
AC,Oliver,JR15,1
AC,Olivia,JR17,2
ACF,Amelia,JR16,2
ACF,Ava,JR29,2
ACF,Charlotte,JR21,2
ACF,Elijah,JR14,1
ACF,Emma,JR13,1
ACF,James,JR28,1
ACF,Liam,JR20,1
ACF,Noah,JR23,1
ACF,Oliver,JR15,1
ACF,Olivia,JR17,1
CW,Amelia,JR16,2
CW,Ava,JR29,2
CW,Charlotte,JR21,1
CW,Elijah,JR14,1
CW,Emma,JR13,1
CW,James,JR28,1
CW,Liam,JR20,1
CW,Noah,JR23,1
CW,Oliver,JR15,1
CW,Olivia,JR17,1
CB,Amelia,JR16,2
CB,Ava,JR29,3
CB,Charlotte,JR21,2
CB,Elijah,JR14,1
CB,Emma,JR13,2
CB,James,JR28,2
CB,Liam,JR20,1
CB,Noah,JR23,2
CB,Oliver,JR15,2
CB,Olivia,JR17,1
TIM,Amelia,JR16,2
TIM,Ava,JR29,3
TIM,Charlotte,JR21,3
TIM,Elijah,JR14,3
TIM,Emma,JR13,3
TIM,James,JR28,NA
TIM,Liam,JR20,2
TIM,Noah,JR23,2
TIM,Oliver,JR15,2
TIM,Olivia,JR17,2
DA,Amelia,JR16,1
DA,Ava,JR29,2
DA,Charlotte,JR21,2
DA,Elijah,JR14,1
DA,Emma,JR13,1
DA,James,JR28,1
DA,Liam,JR20,1
DA,Noah,JR23,1
DA,Oliver,JR15,1
DA,Olivia,JR17,2
VCT,Amelia,JR16,2
VCT,Ava,JR29,2
VCT,Charlotte,JR21,2
VCT,Elijah,JR14,1
VCT,Emma,JR13,1
VCT,James,JR28,0
VCT,Liam,JR20,0
VCT,Noah,JR23,1
VCT,Oliver,JR15,0
VCT,Olivia,JR17,1
LC,Amelia,JR16,1
LC,Ava,JR29,2
LC,Charlotte,JR21,1
LC,Elijah,JR14,1
LC,Emma,JR13,1
LC,James,JR28,2
LC,Liam,JR20,1
LC,Noah,JR23,1
LC,Oliver,JR15,1
LC,Olivia,JR17,2
JD,Amelia,JR16,1
JD,Ava,JR29,3
JD,Charlotte,JR21,2
JD,Elijah,JR14,1
JD,Emma,JR13,1
JD,James,JR28,1
JD,Liam,JR20,0
JD,Noah,JR23,1
JD,Oliver,JR15,2
JD,Olivia,JR17,2
BML,Amelia,JR16,2
BML,Ava,JR29,3
BML,Charlotte,JR21,3
BML,Elijah,JR14,3
BML,Emma,JR13,2
BML,James,JR28,2
BML,Liam,JR20,2
BML,Noah,JR23,1
BML,Oliver,JR15,1
BML,Olivia,JR17,1
MG,Amelia,JR16,2
MG,Ava,JR29,2
MG,Charlotte,JR21,1
MG,Elijah,JR14,1
MG,Emma,JR13,1
MG,James,JR28,1
MG,Liam,JR20,1
MG,Noah,JR23,0
MG,Oliver,JR15,1
MG,Olivia,JR17,1
TIM2,Amelia,JR16,2
TIM2,Ava,JR29,3
TIM2,Charlotte,JR21,3
TIM2,Elijah,JR14,1
TIM2,Emma,JR13,2
TIM2,James,JR28,1
TIM2,Liam,JR20,0
TIM2,Noah,JR23,0
TIM2,Oliver,JR15,2
TIM2,Olivia,JR17,1
AGHUA,Amelia,JR16,2
AGHUA,Ava,JR29,2
AGHUA,Charlotte,JR21,2
AGHUA,Elijah,JR14,1
AGHUA,Emma,JR13,2
AGHUA,James,JR28,0
AGHUA,Liam,JR20,0
AGHUA,Noah,JR23,0
AGHUA,Oliver,JR15,0
AGHUA,Olivia,JR17,0
MP,Amelia,JR16,3
MP,Ava,JR29,3
MP,Charlotte,JR21,3
MP,Elijah,JR14,2
MP,Emma,JR13,3
MP,James,JR28,2
MP,Liam,JR20,2
MP,Noah,JR23,2
MP,Oliver,JR15,2
MP,Olivia,JR17,2
