Gene,Sample ID,Ct,temperature,File
CsCALS3,255,36.813,78.3,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,255,37.1142,77.9,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,255,37.25,78.6,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,256,36.5204,78.3,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,256,NA,66.2,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,256,36.5178,78.6,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,257,NA,65.5,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,257,34.9776,78.3,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,257,35.2494,78.3,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,258,NA,66.9,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,258,NA,88.4,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,258,NA,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,255,34.3463,79.7,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,255,33.2403,80,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,255,33.4051,80,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,256,34.108,80.4,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,256,34.3641,80.4,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,256,33.9602,80.4,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,257,36.0107,80.4,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,257,35.7706,79.7,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,257,NA,65.5,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,258,NA,65.5,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,258,NA,68.6,SYBR Results 2022-07-29 (1).xlsx
CsCALS7,258,NA,66.5,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,255,31.3174,78.3,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,255,30.4359,78.6,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,255,30.2277,78.6,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,256,30.5063,78.6,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,256,30.0748,78.6,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,256,30.5983,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,257,31.4537,79.3,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,257,31.5131,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,257,31.0289,79.3,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,258,34.4017,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,258,35.2896,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS9,258,33.6538,78.6,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,255,33.2309,78.6,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,255,33.4157,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,255,32.6603,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,256,34.759,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,256,33.7264,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,256,34.8246,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,257,35.0336,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,257,34.3408,79.3,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,257,34.0734,79.3,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,258,NA,65.5,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,258,NA,65.5,SYBR Results 2022-07-29 (1).xlsx
CsCALS11,258,NA,65.5,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,255,33.0005,80.7,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,255,32.1628,81.1,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,255,33.6169,81.1,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,256,34.193,81.1,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,256,34.4314,81.4,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,256,33.1465,81.4,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,257,NA,66.2,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,257,34.9428,81.1,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,257,36.0177,81.1,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,258,NA,81.4,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,258,NA,65.5,SYBR Results 2022-07-29 (1).xlsx
CsCALS12,258,NA,66.2,SYBR Results 2022-07-29 (1).xlsx
GAPDH,255,27.5068,79,SYBR Results 2022-07-29 (1).xlsx
GAPDH,255,27.3272,79,SYBR Results 2022-07-29 (1).xlsx
GAPDH,255,27.3269,79.3,SYBR Results 2022-07-29 (1).xlsx
GAPDH,256,28.0644,79.3,SYBR Results 2022-07-29 (1).xlsx
GAPDH,256,28.0871,79.7,SYBR Results 2022-07-29 (1).xlsx
GAPDH,256,28.0125,79.7,SYBR Results 2022-07-29 (1).xlsx
GAPDH,257,27.9751,79.3,SYBR Results 2022-07-29 (1).xlsx
GAPDH,257,27.8955,79.7,SYBR Results 2022-07-29 (1).xlsx
GAPDH,257,27.6311,79.3,SYBR Results 2022-07-29 (1).xlsx
GAPDH,258,31.0098,79.7,SYBR Results 2022-07-29 (1).xlsx
GAPDH,258,33.5758,79.3,SYBR Results 2022-07-29 (1).xlsx
GAPDH,258,35.0606,79,SYBR Results 2022-07-29 (1).xlsx
CsCALS3,259,28.9314,78.2,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,259,28.1665,78.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,259,28.3274,78.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,260,33.0311,78.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,260,32.7202,78.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,260,31.9666,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,261,NA,68.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,261,NA,68.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,261,NA,66.2,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,262,27.0994,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,262,26.9067,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,262,26.7007,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,259,27.2542,79.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,259,26.8368,79.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,259,27.1588,79.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,260,30.1319,80.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,260,29.95,80.7,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,260,30.0076,80.7,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,261,NA,66.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,261,NA,68.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,261,NA,68.2,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,262,26.3105,80.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,262,26.7664,80.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS7,262,26.2166,79.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,259,25.4749,78.2,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,259,25.3632,78.6,SYBR Results 2022-07-29 (2).xlsx
