Sample ID,Gene,Ct,temperature,File
255,GLU 1 (41-42),26.9548,86.1,SYBR Results 2022-12-01 (1).xlsx
255,GLU 1 (41-42),27.1439,86.1,SYBR Results 2022-12-01 (1).xlsx
255,GLU 1 (41-42),27.0399,86.1,SYBR Results 2022-12-01 (1).xlsx
255,GLU 2 (65-66),30.3265,80,SYBR Results 2022-12-01 (1).xlsx
255,GLU 2 (65-66),30.1123,80,SYBR Results 2022-12-01 (1).xlsx
255,GLU 2 (65-66),30.2754,80.4,SYBR Results 2022-12-01 (1).xlsx
255,GAPDH,27.7457,79.4,SYBR Results 2022-12-01 (1).xlsx
255,GAPDH,27.7081,79.4,SYBR Results 2022-12-01 (1).xlsx
255,GAPDH,27.4798,79.4,SYBR Results 2022-12-01 (1).xlsx
256,GLU 1 (41-42),19.8828,86.1,SYBR Results 2022-12-01 (1).xlsx
256,GLU 1 (41-42),19.8799,86.4,SYBR Results 2022-12-01 (1).xlsx
256,GLU 1 (41-42),19.8408,86.4,SYBR Results 2022-12-01 (1).xlsx
256,GLU 2 (65-66),23.3041,80.7,SYBR Results 2022-12-01 (1).xlsx
256,GLU 2 (65-66),23.2424,80.7,SYBR Results 2022-12-01 (1).xlsx
256,GLU 2 (65-66),23.2932,80.7,SYBR Results 2022-12-01 (1).xlsx
256,GAPDH,20.8852,79.7,SYBR Results 2022-12-01 (1).xlsx
256,GAPDH,20.8601,79.7,SYBR Results 2022-12-01 (1).xlsx
256,GAPDH,20.9508,79.7,SYBR Results 2022-12-01 (1).xlsx
257,GLU 1 (41-42),29.5832,86.1,SYBR Results 2022-12-01 (1).xlsx
257,GLU 1 (41-42),29.4694,86.4,SYBR Results 2022-12-01 (1).xlsx
257,GLU 1 (41-42),29.917,86.4,SYBR Results 2022-12-01 (1).xlsx
257,GLU 2 (65-66),NA,81.1,SYBR Results 2022-12-01 (1).xlsx
257,GLU 2 (65-66),34.1728,80.4,SYBR Results 2022-12-01 (1).xlsx
257,GLU 2 (65-66),35.5106,80.4,SYBR Results 2022-12-01 (1).xlsx
257,GAPDH,28.3083,79.7,SYBR Results 2022-12-01 (1).xlsx
257,GAPDH,28.2417,79.7,SYBR Results 2022-12-01 (1).xlsx
257,GAPDH,28.1333,79.7,SYBR Results 2022-12-01 (1).xlsx
258,GLU 1 (41-42),21.2487,86.1,SYBR Results 2022-12-01 (1).xlsx
258,GLU 1 (41-42),21.1894,86.1,SYBR Results 2022-12-01 (1).xlsx
258,GLU 1 (41-42),21.2227,86.4,SYBR Results 2022-12-01 (1).xlsx
258,GLU 2 (65-66),24.5792,80.7,SYBR Results 2022-12-01 (1).xlsx
258,GLU 2 (65-66),24.5447,80.7,SYBR Results 2022-12-01 (1).xlsx
258,GLU 2 (65-66),24.6298,80.7,SYBR Results 2022-12-01 (1).xlsx
258,GAPDH,21.387,80,SYBR Results 2022-12-01 (1).xlsx
258,GAPDH,21.4505,80,SYBR Results 2022-12-01 (1).xlsx
258,GAPDH,21.4015,80,SYBR Results 2022-12-01 (1).xlsx
259,GLU 1 (41-42),22.2309,86.4,SYBR Results 2022-12-01 (1).xlsx
259,GLU 1 (41-42),22.2642,86.4,SYBR Results 2022-12-01 (1).xlsx
259,GLU 1 (41-42),22.3285,86.8,SYBR Results 2022-12-01 (1).xlsx
259,GLU 2 (65-66),29.5797,80.7,SYBR Results 2022-12-01 (1).xlsx
259,GLU 2 (65-66),29.2427,80.7,SYBR Results 2022-12-01 (1).xlsx
259,GLU 2 (65-66),29.6938,80.7,SYBR Results 2022-12-01 (1).xlsx
259,GAPDH,21.138,80,SYBR Results 2022-12-01 (1).xlsx
259,GAPDH,21.12,80,SYBR Results 2022-12-01 (1).xlsx
259,GAPDH,21.1505,80,SYBR Results 2022-12-01 (1).xlsx
260,GLU 1 (41-42),23.4055,86.1,SYBR Results 2022-12-01 (1).xlsx
