Tree Code,Cultivar,Status
JR01,PA,Healthy
JR02,PA,Healthy
JR03,PA,Healthy
JR04,PA,Healthy
JR05,PA,Healthy
JR06,SB,Healthy
JR07,SB,Healthy
JR08,SB,Healthy
JR09,SB,Healthy
JR10,SB,Healthy
JR11,SB,HLB+
JR12,PA,HLB+
JR13,SB,HLB+
JR14,PA,HLB+
JR15,PA,HLB+
JR16,SB,HLB+
JR17,PA,HLB+
JR18,SB,HLB+
JR19,SB,HLB+
JR20,PA,HLB+
JR21,PA,HLB+
JR22,SB,HLB+
JR23,SB,HLB+
JR24,PA,HLB+
JR25,SB,HLB+
JR26,SB,HLB+
JR27,SB,HLB+
JR28,SB,HLB+
JR29,SB,HLB+
JR30,SB,HLB+
JR32,PA,GA+
JR33,SB,GA+
JR34,SB,GA+
JR35,PA,GA+
JR36,PA,GA+
JR37,PA,GA+
JR38,PA,GA+
JR39,SB,GA+
JR40,SB,GA+
JR41,SB,GA+
JR42,PA,GA-
JR43,SB,GA-
JR44,SB,GA-
JR45,PA,GA-
JR46,SB,GA-
JR47,SB,GA-
JR48,SB,GA-
JR49,PA,GA-
JR50,PA,GA-
JR51,PA,2DDG
JR52,PA,2DDG
JR53,PA,2DDG
JR54,PA,2DDG
JR55,PA,NO_DDG
JR56,PA,NO_DDG
JR57,PA,NO_DDG
JR58,PA,NO_DDG
